date,index_usd,index_bs,weekly_change_pct,basket_cost_usd,products_priced,products_total,base_date,notes
2026-06-14,100.0,100.0,0.0,401.98,21,22,2026-06-14,21/22 productos con variación
2026-06-21,100.42,104.68,0.42,344.77,19,22,2026-06-14,19/22 productos con variación
2026-07-05,97.14,108.86,-3.27,414.54,19,22,2026-06-14,19/22 productos con variación
2026-07-12,97.21,118.4,0.07,386.56,20,22,2026-06-14,20/22 productos con variación
2026-07-19,95.68,120.28,-1.57,376.36,21,22,2026-06-14,21/22 productos con variación
2026-07-26,94.89,120.16,-0.83,379.58,21,22,2026-06-14,21/22 productos con variación
2026-08-09,96.16,124.88,1.34,384.51,21,22,2026-06-14,21/22 productos con variación
2026-08-16,96.08,127.14,-0.08,382.98,21,22,2026-06-14,21/22 productos con variación
2026-08-23,96.82,129.6,0.77,484.24,21,22,2026-06-14,21/22 productos con variación
