date,product_id,store,price_usd,price_original,currency_original,product_name_found,url_found,flagged,flag_reason
2026-06-12,leche_polvo,central,7.49,"7,49",USD,Leche La Campina En Polvo Completa 400Gr,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/lacteos-y-derivados/?s=leche+campina+polvo+400,False,
2026-06-12,leche_polvo,gama,6.85,"Ref. 6,85",USD,LECHE EN POLVO COMPLETA CAMPESTRE 400 GR,https://gamaenlinea.com/es,False,
2026-06-12,leche_polvo,plansuarez,6.25,"Bs.3,641.79",VES,LECHE DOBON 400GR COMPLETA,https://www.plansuarez.com/index.php?route=product/search&search=leche+completa,False,
2026-06-12,lentejas,central,1.85,"1,85",USD,Lentejas Mary 400Gr,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/arroz-y-granos/?s=lentejas+mary+400,False,
2026-06-12,lentejas,gama,1.76,"Ref. 1,76",USD,LENTEJAS MARY 400 GR,https://gamaenlinea.com/es,False,
2026-06-12,lentejas,plansuarez,1.71,Bs.997.85,VES,LENTEJAS MARY 400GR,https://www.plansuarez.com/index.php?route=product/search&search=lentejas,False,
2026-06-12,mantequilla,central,8.7,"8,70",USD,Mantequilla La Paisana Sin Sal Barra 200Gr,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/margarinas-y-aceites/?s=mantequilla+paisana+200,False,
2026-06-12,mantequilla,gama,9.06,"Ref. 9,06",USD,MANTEQUILLA LA PAISANA 200 GR,https://gamaenlinea.com/es,False,
2026-06-12,mantequilla,plansuarez,5.2,"Bs.3,029.97",VES,BANDEJA MANTEQUILLA SIN SAL !500! G,https://www.plansuarez.com/index.php?route=product/search&search=mantequilla,False,
2026-06-12,margarina,central,2.49,"2,49",USD,Margarina Juana 454Gr,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/margarinas-y-aceites/?s=margarina+juana+454,False,
2026-06-12,margarina,gama,3.22,"Ref. 3,22",USD,MARGARINA LIGERA MAVESA 500 GR,https://gamaenlinea.com/es,False,
2026-06-12,margarina,plansuarez,2.22,"Bs.1,295.62",VES,MARGARINA JUANA 454GR,https://www.plansuarez.com/index.php?route=product/search&search=margarina,False,
2026-06-12,papa,central,2.95,"2,95",USD,Papa Criolla Lavada KG,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/fruteria-y-vegetales/vegetales/?s=papa+criolla+kg,False,
2026-06-12,papa,gama,2.95,"Ref. 2,95",USD,PAPA LAVADA 1 KG,https://gamaenlinea.com/es,False,
2026-06-12,papa,plansuarez,1.22,Bs.710.88,VES,BANDEJA PAPA !500! GR,https://www.plansuarez.com/index.php?route=product/search&search=papa,False,
2026-06-12,pasta,central,1.45,"1,45",USD,Pasta Galo Spaghetti 500Gr,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/pastas/?s=spaghetti+galo+500,False,
2026-06-12,pasta,gama,3.56,"Ref. 3,56",USD,PASTA SPAGUETTI SEMOLA TRIGO DURO COLAVITA 500 GR,https://gamaenlinea.com/es,False,
2026-06-12,pasta,plansuarez,2.85,"Bs.1,659.13",VES,PASTA DIVELLA 500GR SPAGHETTI,https://www.plansuarez.com/index.php?route=product/search&search=spaghetti,False,
2026-06-12,platano,central,0.0,,USD,,,False,Producto no disponible en Central Madeirense
2026-06-12,platano,gama,3.27,"Ref. 3,27",USD,"PLATANOS 1,500 KG",https://gamaenlinea.com/es,False,
2026-06-12,platano,plansuarez,1.99,"Bs.1,159.55",VES,PLATANO X KG,https://www.plansuarez.com/index.php?route=product/search&search=platano,False,
2026-06-12,pollo,central,8.98,"8,98",USD,Delicia De Pechuga de Pollo Kg KG,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/refrigerados/carniceria-pescaderia/carnes-aves/?s=pechuga+pollo+kg,False,
2026-06-12,pollo,gama,3.42,"Ref. 3,42",USD,PECHUGA DE POLLO MOVILLA 300 GR,https://gamaenlinea.com/es,False,
2026-06-12,pollo,plansuarez,3.43,"Bs.2,000.71",VES,BANDEJA PECHUGA HERMO DE POLLO !300! GR,https://www.plansuarez.com/index.php?route=product/search&search=pechuga+de+pollo,False,
2026-06-12,queso_blanco,central,14.16,"14,16",USD,Queso Blanco Pasteurizado El Zedeño KG,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/charcuteria/quesos/?s=queso+blanco+zedeno+kg,False,
2026-06-12,queso_blanco,gama,6.24,"Ref. 6,24",USD,QUESO BLANCO DURO FINCA 400 GR,https://gamaenlinea.com/es,False,
2026-06-12,queso_blanco,plansuarez,6.78,"Bs.3,948.28",VES,BANDEJA QUESO PAISA BLANCO !300! GR,https://www.plansuarez.com/index.php?route=product/search&search=queso+blanco,False,
2026-06-12,sal,central,1.07,"1,07",USD,Sal DelMar Refinada Paquete 1Kg,https://tucentralonline.com/Av-Presidente-Medina-02/comprar/viveres/?s=sal+refinada,False,
2026-06-12,sal,gama,1.25,"Ref. 1,25",USD,SAL REFINADA EN BOLSA CELESTIAL SALT 1 KG,https://gamaenlinea.com/es,False,
2026-06-12,sal,plansuarez,0.86,Bs.501.11,VES,SAL ARRECIFE 1KG REFINADA,https://www.plansuarez.com/index.php?route=product/search&search=sal+refinada,False,
2026-06-12,sardinas,central,0.0,,USD,,,False,Producto no disponible en Central Madeirense
2026-06-12,sardinas,gama,1.22,"Ref. 1,22",USD,SARDINAS SALSA TOMATE DI FIORE 155 gr,https://gamaenlinea.com/es,False,
